size,Triton,Torch
4096.000000,12.000000,9.600000
8192.000000,19.200000,23.097745
16384.000000,47.627910,48.000000
32768.000000,76.800002,76.800002
65536.000000,127.999995,127.999995
131072.000000,189.776067,192.000000
262144.000000,236.307695,236.307695
524288.000000,279.272725,279.272725
1048576.000000,307.200008,307.200008
2097152.000000,327.679984,323.368435
4194304.000000,334.367350,334.367350
8388608.000000,339.107207,340.152262
16777216.000000,343.120420,342.522645
33554432.000000,341.629877,341.926949
67108864.000000,342.373526,342.499340
134217728.000000,342.970781,342.933400
